SARS004_mock_3	SARS004_mock_2	SARS004_mock_1	SARS004_CoV2_3	SARS004_CoV2_2	SARS004_CoV2_1	CoV002_mock3_indexG3	CoV002_mock2_indexG2	CoV002_mock1_indexG1	CoV002_CoV2_3_indexG6	CoV002_CoV2_2_indexG5	CoV002_CoV2_1_indexG4	svRNA184_mock_3_indexF3	svRNA184_mock_1_indexF1	svRNA184_RSV_3_indexH9	svRNA184_RSV_1_indexF4	X3_9_mock1_13	X3_9_mock2_14	X3_9_wt1_15	X3_9_wt2_16
ENSG00000000003	209	236	352	196	147	538	1171	598	374	1847	1148	885	1150	1215	334	149	234	547	409	110
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	729	715	1480	693	702	1717	944	546	351	1586	1115	832	646	769	209	129	180	508	604	103
ENSG00000000457	162	131	206	121	143	335	245	128	108	372	278	168	250	221	86	50	55	101	178	26
ENSG00000000460	58	49	80	46	46	148	580	280	230	802	542	391	212	198	65	27	82	189	227	40
ENSG00000000938	4	1	1	2	1	6	0	0	0	0	2	0	0	1	0	0	0	0	0	0
ENSG00000000971	1321	1309	2333	1141	1245	3283	545	271	155	1276	747	519	5642	7449	1388	665	65	190	154	27
ENSG00000001036	677	702	1086	539	686	1800	1605	852	767	2253	1824	1318	2301	1939	571	325	370	730	602	166
ENSG00000001084	1829	1849	3204	1371	1409	3739	3621	1942	1514	4710	3570	2719	1750	1895	354	282	1022	2073	1991	325
ENSG00000001167	596	591	1334	608	634	1778	763	383	250	1061	798	589	456	410	123	67	178	374	346	93
ENSG00000001460	316	352	499	281	300	869	210	107	82	259	223	168	170	145	50	45	63	92	113	17
ENSG00000001461	1878	1645	2783	1661	1761	4790	419	223	179	510	391	305	430	346	103	78	104	203	137	53
ENSG00000001497	584	510	885	560	614	1735	2640	1475	1187	2851	2693	2027	1909	1493	462	412	471	839	796	236
ENSG00000001561	16	24	58	21	21	42	37	16	7	45	31	21	4	27	2	2	4	16	29	2
ENSG00000001617	3265	3339	4523	3320	2452	7445	73	39	39	101	121	84	110	100	46	30	9	23	9	3
ENSG00000001626	3	3	2	1	7	13	3	2	2	3	3	4	6	1	1	1	0	0	0	0
ENSG00000001629	1031	905	1738	881	851	2679	1434	744	549	2078	1480	1132	598	637	198	116	317	613	947	175
ENSG00000001630	1704	1684	2866	1526	1696	4875	3560	1974	1375	5653	3605	2938	3388	2716	793	543	701	1439	2849	492
ENSG00000001631	330	393	791	316	324	847	715	425	269	1149	776	581	518	610	196	78	214	494	661	109
ENSG00000002016	133	127	192	99	102	341	332	199	158	492	410	316	355	296	101	33	53	125	110	24
ENSG00000002330	122	169	221	199	105	378	964	504	384	1103	959	739	1028	763	386	276	174	295	84	86
ENSG00000002549	669	544	814	644	684	1987	893	546	441	2317	2022	1414	413	476	636	544	204	419	558	104
ENSG00000002586	2561	2253	2796	2673	2468	7353	2377	1408	1059	2620	2455	1809	4912	3497	1492	1000	473	888	977	234
ENSG00000002587	86	110	200	101	97	268	74	26	32	96	73	58	72	96	48	16	13	13	15	4
ENSG00000002745	0	1	1	0	0	0	2	0	0	1	0	0	0	1	1	1	0	0	1	1
ENSG00000002746	1	0	1	2	1	0	267	145	102	263	244	221	151	113	38	33	65	140	108	20
ENSG00000002822	227	227	308	271	195	587	635	366	289	691	684	457	519	376	129	98	104	212	215	68
ENSG00000002834	5231	4493	7277	4535	4572	13908	16127	9404	7042	17887	16839	12476	7196	6254	2298	1398	2874	5463	3847	953
ENSG00000002919	180	179	254	159	169	448	617	386	288	791	604	503	307	255	72	85	108	178	58	36
ENSG00000002933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	2149	1830	2769	1733	1911	5170	3012	1824	1402	3740	2985	2298	879	927	293	196	416	917	723	162
ENSG00000003096	131	92	195	51	70	239	44	26	14	66	58	49	9	15	3	1	3	11	9	2
ENSG00000003137	107	120	163	117	80	276	1141	675	437	1319	1119	876	534	460	221	99	157	278	200	77
ENSG00000003147	185	136	267	172	146	500	114	49	39	104	87	66	251	176	116	48	34	75	82	8
ENSG00000003249	249	242	321	348	238	734	1363	712	636	1499	1429	1095	1648	1327	473	297	237	438	221	102
ENSG00000003393	878	702	1225	667	733	2200	1101	565	433	1471	1100	901	497	513	192	92	212	411	537	109
ENSG00000003400	140	121	192	110	115	391	226	106	106	337	276	213	178	201	132	69	46	95	79	26
ENSG00000003402	2862	2974	4645	2689	2985	8568	2388	1353	1023	3121	2414	1826	1628	1514	786	517	376	746	682	152
ENSG00000003436	114	143	309	107	140	319	1477	746	464	2852	1538	1081	3379	3710	1425	683	394	836	1417	260
ENSG00000003509	209	223	315	199	229	647	534	313	242	887	624	510	810	603	281	126	138	271	312	73
ENSG00000003756	1673	1433	2127	1160	1484	3785	1162	632	524	1422	1184	890	1388	1128	337	247	282	538	656	142
ENSG00000003987	0	3	0	0	0	0	26	8	5	50	33	13	85	66	31	13	3	5	27	8
ENSG00000003989	4	16	7	17	10	38	265	151	114	533	322	233	882	869	151	72	47	88	98	22
