"","MPIB_00173","MPIB_00174","MPIB_00175","MPIB_00176","MPIB_00177","MPIB_00178","MPIB_00179","MPIB_00180","MPIB_00181","MPIB_00182","MPIB_00183","MPIB_00184","MPIB_00185","MPIB_00186","MPIB_00187","MPIB_00188","MPIB_00189","MPIB_00190","MPIB_00191","MPIB_00192","MPIB_00193","MPIB_00194","MPIB_00195","MPIB_00196","MPIB_00197","MPIB_00198","MPIB_00199","MPIB_00200","MPIB_00201","MPIB_00202","MPIB_00203","MPIB_00204","MPIB_00205","MPIB_00206","MPIB_00207","MPIB_00208","MPIB_00209","MPIB_00210","MPIB_00211","MPIB_00212","MPIB_00213","MPIB_00214","MPIB_00215","MPIB_00216","MPIB_00217","MPIB_00218","MPIB_00219","MPIB_00220","MPIB_00221","MPIB_00222","MPIB_00223","MPIB_00224","MPIB_00225","MPIB_00226","MPIB_00227","MPIB_00228","MPIB_00229","MPIB_00230","MPIB_00231","MPIB_00232","MPIB_00233","MPIB_00234","MPIB_00235","MPIB_00236","MPIB_00237","MPIB_00238","MPIB_00239","MPIB_00240","MPIB_00241","MPIB_00242","MPIB_00243","MPIB_00244","MPIB_00245","MPIB_00246","MPIB_00247","MPIB_00248","MPIB_00249","MPIB_00250","MPIB_00251","MPIB_00252","MPIB_00253","MPIB_00254","MPIB_00255","MPIB_00256","MPIB_00257","MPIB_00258","MPIB_00259","MPIB_00260","MPIB_00261","MPIB_00262","MPIB_00263","MPIB_00264","MPIB_00265","MPIB_00266","MPIB_00267","MPIB_00268","MPIB_00269","MPIB_00270","MPIB_00271","MPIB_00272","MPIB_00273","MPIB_00274","MPIB_00275","MPIB_00276","MPIB_00277","MPIB_00278","MPIB_00279","MPIB_00280","MPIB_00281","MPIB_00282","MPIB_00283","MPIB_00284","MPIB_00285","MPIB_00286","MPIB_00287","MPIB_00288","MPIB_00289","MPIB_00290","MPIB_00291","MPIB_00292","MPIB_00293","MPIB_00294","MPIB_00295","MPIB_00296","MPIB_00297","MPIB_00298","MPIB_00299","MPIB_00300","MPIB_00301","MPIB_00302","MPIB_00303","MPIB_00304","MPIB_00305","MPIB_00306","MPIB_00307","MPIB_00308","MPIB_00309","MPIB_00310"
"ID_1",1.0847445,0.7962474,1.0965734,1.1671578,1.1223806,1.1247046,1.2209429,0.9869041,0.7531661,0.9951406,1.0504313,1.6668553,1.3580486,0.8005132,1.4445369,0.9503041,1.008448,0.8500311,1.4548239,1.0750294,1.1830444,0.8574132,0.8075696,1.3484451,0.8922599,0.5439078,1.0103202,0.9146313,0.9260845,1.1941389,1.2460223,0.4065115,1.4540091,1,1.5027781,0.9202681,1.8875883,1.0168447,1.048155,1.3005706,0.9532727,0.799503,0.9358459,1.7116586,0.7497007,1.4942285,0.710701,1.1454685,1.2529585,1.2257588,1,0.9443737,0.7549551,0.9411588,0.5236499,1.2705298,0.8937829,0.48383,1.1800987,0.8926018,0.7732078,0.8568772,1.1601856,0.8868295,1.0108192,0.6610961,1.1661553,0.8872985,0.7204612,1.3135511,0.7836072,0.9896798,2.572511,0.9566289,1.0321536,1.0740739,0.9277766,1.1405132,1.0891909,1.511193,0.7239286,0.8947564,1.0987606,0.8165542,1.0540541,1.129859,1.2787233,1.0480283,1.0520616,1.2089252,1.2433931,1.6392443,1.4179941,1,0.9066477,0.9006899,0.7260014,1.4499571,1.0780784,0.8257136,0.8491705,1.1007879,1.3885282,0.9966515,0.9271146,1.0054683,0.8609388,1.348864,0.5344314,0.9058587,1.0518057,1,0.9139474,0.7705925,0.863102,1.2749609,0.880816,0.9300842,1.0844678,0.8881055,1.7690711,0.7797235,1.2964844,1.2717647,1.1504565,1.7740802,1.2777364,1.0295972,0.5934905,0.9874652,0.6602286,0.8119392,0.7750177,0.7601671,0.9056469,0.7363988,0.6294216,0.8415059
"ID_2",0.4766376,0.5810435,1.0631756,0.4766376,0.4766376,0.6892357,0.4766376,0.4766376,0.4766376,0.4766376,1.8539521,0.6936861,0.4766376,0.9795001,0.8836062,1.172423,0.6204956,1.4197381,1.241791,0.4766376,0.4766376,1.4277031,2.7439557,1.5584724,1.0355072,0.8500149,0.4766376,1.9243868,0.4766376,0.9372822,0.6638704,0.4766376,0.4766376,0.4766376,0.4766376,0.4766376,0.6394895,1,0.9381342,0.4766376,0.4766376,0.4766376,1.3116914,1.3360712,0.4766376,0.4766376,0.4766376,0.4766376,0.4766376,0.6198755,0.4766376,0.4766376,0.8688597,0.4766376,0.4766376,0.7095762,1.0618658,0.4766376,1.8232956,0.4766376,0.4766376,1,2.0459744,1.4388055,0.4766376,0.4766376,1.0505712,1.2939007,0.6235411,0.9657376,0.4766376,1.3206443,2.035397,0.4766376,0.4766376,0.7737362,0.4766376,0.4766376,1.5530124,0.73302,1.0646964,0.8575697,0.8313369,0.4766376,1.0758825,0.4766376,0.4766376,0.6191821,3.4723962,0.4766376,0.9834766,0.4766376,0.8527396,0.4766376,0.8547276,0.4766376,1.1702728,0.4766376,0.4766376,0.4766376,0.7103188,1.0580274,1.2185974,0.7733586,0.9644928,0.7976317,1.4878248,0.4766376,1.6223708,1.4076507,0.8004808,1.0286402,1.0204999,1.9926187,0.5318344,0.9187478,0.5112967,0.7542059,1.7220541,0.4766376,0.4766376,0.4766376,0.8342748,0.4766376,0.4766376,0.4766376,0.5456395,1.2523949,1.1058573,0.4766376,0.4766376,0.8645248,2.428431,0.4766376,1.4015494,0.4766376,0.4766376,0.9646631
"ID_3",1.3234884,0.9970693,1.076909,1.1629294,1.1363675,0.9465881,1.262033,1.0096569,0.7910899,1.3500672,1.1409784,1.5110179,1.2241354,0.754969,1.2544134,1.0755177,0.9176971,0.7902795,1.2004514,0.9642558,1.1346261,0.8075859,0.8450707,1.2657463,0.8889815,0.4452006,1.028543,0.7670902,0.9205085,1.14439,0.9251151,0.4442939,1.1133668,1,1.1132382,0.9878404,1.0701434,0.7653545,1.2306919,1.1989189,0.5494714,0.8475451,0.8698367,1.2827621,0.6641413,0.9865345,0.7628209,1.3526138,1.0025476,1.0312839,1.1583557,1.0689734,0.8572285,0.9141093,0.7312698,1.171179,1.0889957,0.8590294,0.8908608,0.9324064,0.7900907,0.6636395,0.9154065,0.9245948,0.9661694,0.5635743,0.8772234,0.7887689,0.6523677,0.8828086,0.8111115,0.9488943,1.727883,0.7443051,0.9615361,1.000355,0.7476975,1.2349204,1.0635255,1.1891031,0.971457,0.5817092,0.8530589,0.6470995,1.1004092,1.1697274,0.7771329,0.8139183,0.8690167,0.8779078,1.2175908,1.1315065,1.4930364,1.144724,1.2716606,1.3865547,1,2.1710989,1.4191066,0.8255983,0.9706867,0.9954216,1.1597132,0.7780805,1.0367984,1.0933421,1.3000404,1.7064296,0.6388137,0.6483014,1.3810584,1.1385834,1.1084778,0.8971223,1.0956305,1.3469435,1,1.0682859,1.1224907,1.0266329,1.7138381,1,1.4585299,1.1998937,1.0964116,1.8570675,1.4196893,1.5295569,0.8706188,1.0261679,0.8713061,1.1281683,0.8331451,0.7937774,0.9855271,0.8389305,0.4611492,0.8031822
"ID_4",1.7801607,1.2918775,1.2449642,1.1838858,0.9933371,1.3374999,2.2498743,1.3501575,0.4843878,1.4021245,0.6345704,1.0066629,1.018066,1.1008293,1.9956578,1.6922665,1.5086546,1.1556145,1.1013849,0.862939,1.555319,0.3497856,0.9942373,1.246024,1.0088042,0.8223162,0.5862259,0.7384089,0.9965767,1.0057627,1.1093151,0.8440602,0.8793779,0.3497856,1.3668985,0.9900342,1.5205685,0.8334874,1.2845801,1.0966295,1.0970175,1.5132548,0.8911611,0.9966393,1.7526363,1.3274409,0.8475386,1.5229626,1.566896,1.6639207,1.227103,1.3356553,1.2463592,0.5042485,1.3452291,1.2008692,0.961896,1.476923,0.7238152,0.8235914,1.4332579,1.4653394,0.940904,0.8088716,0.6941688,1.1821031,1.7457368,0.6493412,2.0411615,1.1648547,0.8807943,1.436602,2.6804376,1.7069913,1.3268284,1.5159659,0.6267157,1.4960716,1.5611437,0.8017157,1.7894378,0.793579,1.3571245,1.0334681,1.2520102,0.9756671,1.4930194,0.9310605,0.6976363,1.6194169,1.0280119,1.2589193,1.0207098,1.061381,0.7251678,0.8124335,0.9854622,1.0912072,0.8362697,0.5827076,0.6777844,1.0136183,0.8767742,0.9454533,0.6088727,0.6299266,1.0819109,0.8868762,0.7637229,0.4294019,0.7980037,0.9968283,0.8850105,0.8569737,0.7539994,1.1369177,1,0.813305,0.587764,0.5385997,0.8255694,0.9029548,0.8845449,1.3538263,0.714767,0.7565306,1,1.1456386,0.5276767,1,0.877593,0.780558,0.8961367,0.6156552,0.9593393,0.6473696,0.7276399,0.8246249
"ID_5",0.9447937,0.9902318,2.557685,0.3205295,1.1521932,2.0308781,0.3205295,0.3205295,1.0097682,0.3205295,1.661904,0.3205295,1.837459,0.4781646,1.0226497,0.3205295,1.9057635,0.3205295,0.3205295,1.3264151,0.3205295,1.4985301,1.0138089,0.3205295,1.1757872,1.0449842,0.7715812,0.3205295,1,0.3205295,1.324199,1.3622078,0.4422937,0.7893847,0.3205295,0.3205295,0.3205295,0.3205295,0.3205295,0.3205295,1.7924334,0.6138225,0.6364873,1.5122855,0.4389849,0.3205295,0.3205295,0.3205295,1.06422,1.5840454,0.7074552,0.3205295,0.7883838,0.3205295,0.4106443,0.7475809,0.3205295,0.3205295,0.3205295,0.3205295,0.3205295,1.6788011,0.3205295,1.3626847,0.3205295,1.0008972,0.3205295,0.3205295,1.1862188,0.6397873,0.9861911,1.0031775,0.3389102,0.3205295,1.234986,0.3205295,0.3205295,1.490012,1.6423216,0.8862005,0.3205295,0.3205295,0.3205295,1.3384233,0.3205295,0.6139748,0.3205295,1.367305,0.3205295,0.5722739,0.3205295,0.925922,0.8418628,0.5655764,0.6278773,1.0119377,1.2649741,0.5468672,0.3205295,0.7460331,1.4285712,0.3205295,0.3205295,0.3205295,0.9761275,0.3205295,0.3205295,0.3205295,0.4923104,0.5200476,0.3599789,0.3205295,0.3205295,1.5146557,0.6886198,1.4386283,0.6467489,0.3205295,1.2074913,0.3205295,2.1143637,1.4175119,0.7225393,0.6757565,0.3205295,2.0460952,0.3205295,0.7175077,0.7614707,0.3205295,0.9991028,1.1500882,0.3205295,0.3205295,0.3205295,0.9867773,0.9968225,0.3205295
"ID_6",0.1708322,0.8462954,1.0136335,0.6856616,0.8256988,0.8544103,1.0475506,1,0.7010533,0.5714198,0.9168586,0.8932953,0.4596518,0.9233072,1.2766958,0.563402,0.4843373,0.7416653,1.0058046,0.8418848,0.7079843,0.9551925,1.0215361,1.0212412,0.8841472,0.54232,0.8250627,0.7255592,1.0060849,0.8178269,0.5386901,1.2128325,1.2611192,0.9992593,0.8032116,1.3253025,1.5364522,1.0393462,1.0105124,0.9526242,1.0105134,1.2138422,0.7456595,0.1708322,0.8750906,0.8491446,0.9879784,0.1708322,1.2368692,1.1419603,1.437978,1.1252823,1.0301329,0.6479251,0.5192986,0.4467883,1.3309194,0.9176314,0.8907487,1.4617097,0.9055668,0.6988108,0.8500141,0.7779228,0.9210244,0.957126,0.7431323,0.6727389,1.0284012,0.1708322,1.673983,1.032202,1.1306365,0.8306436,0.9440451,1,1.1148019,0.1708322,1.0709903,1.1193025,1.3474022,1.5400117,1.7827766,1.5551531,1.0564083,1.7912277,1.863435,1.4760435,1.0145273,0.6350266,1.0577234,1.1078193,1.3566611,1.0167263,1.3746369,0.7367815,0.5067326,0.9455351,1.1081768,1.070701,1.0523144,0.8802857,0.9460508,0.5545258,0.8322055,0.8236774,1,0.8158146,1.3681727,1.4099166,1.9792398,1.1191497,0.6978907,0.8734702,1.8453128,1.3863137,0.7318138,1.8271233,0.9894876,0.9279027,0.9860917,1.2648109,1.2591485,2.40838,1.1625793,1,1.8007307,0.8512027,0.777687,0.9652197,0.5773031,1.2160793,1.8530911,2.4265541,1.1432369,1.3824893,1.8333674,1.1272639
"ID_7",1.1324282,0.8784996,0.993061,1.154151,1.1851295,1.1286838,1.334635,1,0.6025129,1.193308,0.850254,1.2182855,1.4812864,0.791735,1.4811797,0.8660019,1.0614005,0.8148103,1.0123659,0.8472327,1.4510853,0.7701089,0.9875071,0.8375588,1.1077383,0.7691693,1.1486246,0.8168587,1.4349032,1.640823,1.2101948,0.4666353,1.4890621,1.1497193,1.1891379,0.7804746,1.3056215,1.0422351,0.9365624,1.4931937,0.7438834,0.9927458,0.800149,2.0050868,1.2116495,1.44869,0.8515166,1.4304788,1.5748485,1.8382279,1.4524444,1.3208232,0.9017738,0.7774375,0.9155395,1.0939472,1.0692637,0.7302036,0.9571681,0.8087092,1.0423126,1.0464301,1.1817048,0.8532477,0.9993617,0.8225097,1.6594201,0.833859,1.405856,1.0002884,0.5627657,0.9058732,1.7166402,1.2827941,1.5678623,1.9648303,1,1.0702655,0.7854657,1.4099744,0.7763474,0.8356263,1.4725662,0.7728934,1.3459262,1.0072542,0.9005814,0.927973,0.779447,1.0995259,1.0831721,1.4241887,1.3094208,0.9401182,1.0512632,1.0485874,0.9254178,1.182429,1.1826465,0.9083322,0.8276307,1.0455574,1.0913093,1.0209138,0.9445203,0.8879443,0.727243,1.2081475,0.6549777,0.888011,0.9442997,0.874675,0.9404965,0.7087265,1.0557333,1.0488175,0.8111933,0.9621276,0.9914331,1,1.3484198,1.2130376,1.1157942,0.9723418,0.8511549,1.2695999,1.0249537,0.95348,0.5742532,1,0.8580615,0.8116859,0.8618694,0.6716623,0.8891891,0.8434487,0.7696075,0.855899
"ID_8",1.9271729,0.7677988,1.2828195,0.3314628,0.8117389,1.4783729,0.8098358,1.1873251,1.2108578,2.5857319,1.0629574,0.4631539,1.8384704,1.5396316,1.8562116,2.3106666,1,1.3050955,0.6058363,1.9050102,2.0585308,1.569755,0.6937777,3.3294056,2.1461705,0.8816426,2.5580833,2.3409381,0.8581496,1.8470987,0.8790447,0.5845772,0.7880651,1.6819775,1.3006684,0.5166491,0.8951861,0.8496683,1.9742844,1.0802738,0.6517914,0.5615052,0.9920623,0.1841152,1.6711109,2.3317983,1.2136473,1,0.5578598,0.8020009,0.9619953,0.6780503,0.601015,1,1.0920963,0.7373916,1.5700503,1.0027346,0.8966472,1.5882534,0.9972654,0.4541343,1,1.2955833,0.5641369,0.6956563,1.2905346,1.1479575,0.936429,1.2405348,0.4134084,0.9329698,1.8231564,0.6206996,1.5013249,0.4953433,0.4648283,0.9399707,1.4462682,1.1354891,0.4797672,0.71835,1.0215702,0.5436529,0.3161431,0.3546146,0.561253,0.8233747,1.2339341,0.4704288,0.7728744,0.7841312,2.6070465,2.3865222,0.8644623,1.830706,1.0225905,7.3597956,0.7251954,0.8171312,0.4423775,1.8677175,1.1981124,0.5470564,0.7338194,0.7076937,0.738163,1.2064533,2.3000959,0.301368,1.1305505,3.6486331,0.4998271,0.5660843,2.1077247,3.2877737,1.2872895,0.5489031,0.7608497,3.0948631,4.1140187,0.6669688,1.7471999,2.9309823,2.3275331,5.5916124,0.9148749,0.6548647,1.3662469,2.7556559,1.5898207,1.6303826,0.3103541,1.6817678,0.3593624,1.4185423,0.2631682,0.8626344
"ID_9",1.2333788,0.9256241,1.1953047,0.7000473,1.0847865,1.0444552,1.4454552,1.1462062,0.7532423,1.1162947,0.8441142,1.1699814,1.1083127,0.9592708,1.0480802,1.0178092,0.8187926,0.9110708,1.0213553,0.7212293,1.0317546,0.8519259,0.8324859,1.8946136,0.92777,0.7850978,0.7788789,0.8603568,0.6862983,1.1622368,0.9908222,0.4641863,1.2373795,1.1059274,1.0211162,1.0512011,2.0479814,0.940263,1.2519154,1.3084375,0.944471,1.0982511,1.278437,1.1877421,1.001922,1.5923404,0.9643308,1.382038,1.1900284,1.3102877,1.2196329,1.1355131,1,0.5221212,0.7546369,1.3185325,1.1073864,0.8026744,0.7324616,0.89657,1.0416279,0.7519191,1.1982728,0.9214969,1.2276766,0.8884634,1,0.7021748,0.8378312,0.8270115,0.6482202,0.8043929,1.1613711,1.0098707,1.2493883,1.1002243,0.9783103,1.2298695,1.2320175,1.0509566,0.7717806,0.9352739,0.9284729,0.8499048,1.2778247,1.0667843,1.2353626,0.928418,1.0359182,1.0823626,1.2883023,1.0030752,1.617902,1.0509918,1.0441249,0.8347114,0.7769826,1.357826,0.998078,0.9133137,0.8920905,0.975645,1.0512701,0.7904643,0.7786512,0.7921439,0.7625634,1.7329463,0.5561479,0.6947024,1.140395,1.0212499,1.0179086,0.737048,0.9876934,1.5692607,0.6801725,0.6533216,0.7680048,1,1.9596879,0.7787298,1.4399405,1.7011499,0.8372626,1.8133474,1.305494,1.5196843,0.7973255,0.9048076,0.8216518,0.98699,1,0.6632471,0.9881324,0.8156927,0.6321918,0.6763761
"ID_10",1.4724287,0.4025512,1,0.7021057,1.0515993,0.5059215,0.4531782,0.8467163,1.552602,1.5863488,0.954884,0.4274877,1.7049789,0.8394656,1,1.3061621,0.5452073,1.0942332,0.7622468,1.4258742,2.0067033,1.1372935,1.4018295,1.9747105,1.1292034,0.4944069,1.1309535,4.8683095,1.170489,1.1842749,1.3270586,1.9308466,1.1282593,1.0619515,0.8527904,0.4913023,1,0.5630276,1.398909,1.2379529,0.5178642,0.6245517,1.2366951,0.5373661,1.4163162,2.014852,0.7782038,0.992502,0.7247912,0.5011144,0.8393333,0.7308831,0.2905964,0.560404,0.5816036,0.7710761,1.2152783,1.045116,0.6427568,1.1049248,0.6601043,0.6722427,1.0155016,0.830827,0.4388408,0.8577798,1.1154258,0.7412496,0.5504723,1,0.6818945,0.486584,0.8586104,1.0149689,1.3753011,0.6243595,0.6281052,0.6759019,1.2126606,1.1805057,0.3743562,0.6285851,0.6253117,0.6693072,0.7923809,0.4301246,0.4559694,0.5222869,1.6466054,0.4884079,2.273004,0.5629566,1.688289,1.3924841,1.1226918,1.045789,0.7054621,2.9361433,1.0649275,0.4075956,0.5859954,1.3760423,1.233287,0.6181205,0.5412793,0.6714395,1.7170218,1.7905522,1.60449,0.6678008,1.2614233,2.0313484,1.0942473,1.030657,1.9711591,1.4340902,1.1385617,0.6234617,1.0679917,1.7093587,2.8951611,0.4809313,1.6401674,1.6501093,1.5205569,3.1421128,1.4829792,0.7479726,1.1258792,1.411465,1.0718828,1.9524376,0.3394782,0.8679634,0.6053127,0.8220125,0.7139105,0.7474465
