"ENSEMBL" "SYMBOL" "GENENAME"
"1" "ENSG00000000003" "TSPAN6" "tetraspanin 6"
"2" "ENSG00000000419" "DPM1" "dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"4" "ENSG00000000460" "C1orf112" "chromosome 1 open reading frame 112"
"5" "ENSG00000000938" "FGR" "FGR proto-oncogene, Src family tyrosine kinase"
"6" "ENSG00000000971" "CFH" "complement factor H"
"7" "ENSG00000001036" "FUCA2" "alpha-L-fucosidase 2"
"8" "ENSG00000001084" "GCLC" "glutamate-cysteine ligase catalytic subunit"
"9" "ENSG00000001167" "NFYA" "nuclear transcription factor Y subunit alpha"
"10" "ENSG00000001460" "STPG1" "sperm tail PG-rich repeat containing 1"
"12" "ENSG00000001497" "LAS1L" "LAS1 like ribosome biogenesis factor"
"13" "ENSG00000001561" "ENPP4" "ectonucleotide pyrophosphatase/phosphodiesterase 4"
"15" "ENSG00000001626" "CFTR" "CF transmembrane conductance regulator"
"19" "ENSG00000002016" "RAD52" "RAD52 homolog, DNA repair protein"
"20" "ENSG00000002330" "BAD" "BCL2 associated agonist of cell death"
"21" "ENSG00000002549" "LAP3" "leucine aminopeptidase 3"
"23" "ENSG00000002587" "HS3ST1" "heparan sulfate-glucosamine 3-sulfotransferase 1"
"24" "ENSG00000002726" "AOC1" "amine oxidase copper containing 1"
"25" "ENSG00000002746" "HECW1" "HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"26" "ENSG00000002822" "MAD1L1" "mitotic arrest deficient 1 like 1"
"28" "ENSG00000002919" "SNX11" "sorting nexin 11"
"29" "ENSG00000002933" "TMEM176A" "transmembrane protein 176A"
"31" "ENSG00000003096" "KLHL13" "kelch like family member 13"
"33" "ENSG00000003249" "DBNDD1" "dysbindin domain containing 1"
"35" "ENSG00000003400" "CASP10" "caspase 10"
"37" "ENSG00000003436" "TFPI" "tissue factor pathway inhibitor"
"40" "ENSG00000003987" "MTMR7" "myotubularin related protein 7"
"41" "ENSG00000003989" "SLC7A2" "solute carrier family 7 member 2"
"42" "ENSG00000004059" "ARF5" "ADP ribosylation factor 5"
"43" "ENSG00000004139" "SARM1" "sterile alpha and TIR motif containing 1"
