"PrimaryID","ENSEMBL","SYMBOL","ENTREZID","REFSEQ","GENENAME"
"ENSG00000000003","ENSG00000000003","TSPAN6","7105","NM_001278740","tetraspanin 6"
"ENSG00000000005","ENSG00000000005","TNMD","64102","NM_022144","tenomodulin"
"ENSG00000000419","ENSG00000000419","DPM1","8813","NM_001317034","dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"ENSG00000000457","ENSG00000000457","SCYL3","57147","NM_020423","SCY1 like pseudokinase 3"
"ENSG00000000460","ENSG00000000460","C1orf112","55732","NM_001320047","chromosome 1 open reading frame 112"
"ENSG00000000938","ENSG00000000938","FGR","2268","NM_001042729","FGR proto-oncogene, Src family tyrosine kinase"
"ENSG00000000971","ENSG00000000971","CFH","3075","NM_000186","complement factor H"
"ENSG00000001036","ENSG00000001036","FUCA2","2519","NM_032020","alpha-L-fucosidase 2"
"ENSG00000001084","ENSG00000001084","GCLC","2729","NM_001197115","glutamate-cysteine ligase catalytic subunit"
"ENSG00000001167","ENSG00000001167","NFYA","4800","NM_002505","nuclear transcription factor Y subunit alpha"
"ENSG00000001460","ENSG00000001460","STPG1","90529","NM_001199012","sperm tail PG-rich repeat containing 1"
"ENSG00000001461","ENSG00000001461","NIPAL3","57185","NM_001322854","NIPA like domain containing 3"
"ENSG00000001497","ENSG00000001497","LAS1L","81887","NM_001170649","LAS1 like, ribosome biogenesis factor"
"ENSG00000001561","ENSG00000001561","ENPP4","22875","NM_014936","ectonucleotide pyrophosphatase/phosphodiesterase 4"
"ENSG00000001617","ENSG00000001617","SEMA3F","6405","NM_001318798","semaphorin 3F"
"ENSG00000001626","ENSG00000001626","CFTR","1080","NM_000492","cystic fibrosis transmembrane conductance regulator"
"ENSG00000001629","ENSG00000001629","ANKIB1","54467","NM_019004","ankyrin repeat and IBR domain containing 1"
"ENSG00000001630","ENSG00000001630","CYP51A1","1595","NM_000786","cytochrome P450 family 51 subfamily A member 1"
"ENSG00000001631","ENSG00000001631","KRIT1","889","NM_001013406","KRIT1, ankyrin repeat containing"
"ENSG00000002016","ENSG00000002016","RAD52","5893","NM_001297419","RAD52 homolog, DNA repair protein"
"ENSG00000002330","ENSG00000002330","BAD","572","NM_004322","BCL2 associated agonist of cell death"
"ENSG00000002549","ENSG00000002549","LAP3","51056","NM_015907","leucine aminopeptidase 3"
"ENSG00000002586","ENSG00000002586","CD99","4267","NM_001122898","CD99 molecule (Xg blood group)"
"ENSG00000002587","ENSG00000002587","HS3ST1","9957","NM_005114","heparan sulfate-glucosamine 3-sulfotransferase 1"
"ENSG00000002745","ENSG00000002745","WNT16","51384","NM_016087","Wnt family member 16"
"ENSG00000002746","ENSG00000002746","HECW1","23072","NM_001287059","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"ENSG00000002822","ENSG00000002822","MAD1L1","8379","NM_001013836","mitotic arrest deficient 1 like 1"
"ENSG00000002834","ENSG00000002834","LASP1","3927","NM_001271608","LIM and SH3 protein 1"
"ENSG00000002919","ENSG00000002919","SNX11","29916","NM_001330320","sorting nexin 11"
"ENSG00000002933","ENSG00000002933","TMEM176A","55365","NM_018487","transmembrane protein 176A"
"ENSG00000003056","ENSG00000003056","M6PR","4074","NM_001207024","mannose-6-phosphate receptor, cation dependent"
"ENSG00000003096","ENSG00000003096","KLHL13","90293","NM_001168299","kelch like family member 13"
"ENSG00000003137","ENSG00000003137","CYP26B1","56603","NM_001277742","cytochrome P450 family 26 subfamily B member 1"
"ENSG00000003147","ENSG00000003147","ICA1","3382","NM_001136020","islet cell autoantigen 1"
"ENSG00000003249","ENSG00000003249","DBNDD1","79007","NM_001042610","dysbindin domain containing 1"
"ENSG00000003393","ENSG00000003393","ALS2","57679","NM_001135745","ALS2, alsin Rho guanine nucleotide exchange factor"
"ENSG00000003400","ENSG00000003400","CASP10","843","NM_001206524","caspase 10"
"ENSG00000003402","ENSG00000003402","CFLAR","8837","NM_001127183","CASP8 and FADD like apoptosis regulator"
"ENSG00000003436","ENSG00000003436","TFPI","7035","NM_001032281","tissue factor pathway inhibitor"
"ENSG00000003509","ENSG00000003509","NDUFAF7","55471","NM_001083946","NADH:ubiquinone oxidoreductase complex assembly factor 7"
"ENSG00000003756","ENSG00000003756","RBM5","10181","NM_005778","RNA binding motif protein 5"
"ENSG00000003987","ENSG00000003987","MTMR7","9108","NM_004686","myotubularin related protein 7"
"ENSG00000003989","ENSG00000003989","SLC7A2","6542","NM_001008539","solute carrier family 7 member 2"
"ENSG00000004059","ENSG00000004059","ARF5","381","NM_001662","ADP ribosylation factor 5"
"ENSG00000004139","ENSG00000004139","SARM1","23098","NM_015077","sterile alpha and TIR motif containing 1"
"ENSG00000004142","ENSG00000004142","POLDIP2","26073","NM_001290145","DNA polymerase delta interacting protein 2"
"ENSG00000004399","ENSG00000004399","PLXND1","23129","NM_015103","plexin D1"
"ENSG00000004455","ENSG00000004455","AK2","204","NM_001199199","adenylate kinase 2"
"ENSG00000004468","ENSG00000004468","CD38","952","NM_001775","CD38 molecule"
"ENSG00000004478","ENSG00000004478","FKBP4","2288","NM_002014","FK506 binding protein 4"
"ENSG00000004487","ENSG00000004487","KDM1A","23028","NM_001009999","lysine demethylase 1A"
"ENSG00000004534","ENSG00000004534","RBM6","10180","NM_001167582","RNA binding motif protein 6"
"ENSG00000004660","ENSG00000004660","CAMKK1","84254","NM_032294","calcium/calmodulin dependent protein kinase kinase 1"
"ENSG00000004700","ENSG00000004700","RECQL","5965","NM_002907","RecQ like helicase"
"ENSG00000004776","ENSG00000004776","HSPB6","126393","NM_144617","heat shock protein family B (small) member 6"
"ENSG00000004777","ENSG00000004777","ARHGAP33","115703","NM_001172630","Rho GTPase activating protein 33"
"ENSG00000004779","ENSG00000004779","NDUFAB1","4706","NM_005003","NADH:ubiquinone oxidoreductase subunit AB1"
"ENSG00000004799","ENSG00000004799","PDK4","5166","NM_002612","pyruvate dehydrogenase kinase 4"
"ENSG00000004809","ENSG00000004809","SLC22A16","85413","NM_033125","solute carrier family 22 member 16"
"ENSG00000004838","ENSG00000004838","ZMYND10","51364","NM_001308379","zinc finger MYND-type containing 10"
"ENSG00000004846","ENSG00000004846","ABCB5","340273","NM_001163941","ATP binding cassette subfamily B member 5"
"ENSG00000004848","ENSG00000004848","ARX","170302","NM_139058","aristaless related homeobox"
"ENSG00000004864","ENSG00000004864","SLC25A13","10165","NM_001160210","solute carrier family 25 member 13"
"ENSG00000004866","ENSG00000004866","ST7","7982","NM_018412","suppression of tumorigenicity 7"
"ENSG00000004897","ENSG00000004897","CDC27","996","NM_001114091","cell division cycle 27"
"ENSG00000004939","ENSG00000004939","SLC4A1","6521","NM_000342","solute carrier family 4 member 1 (Diego blood group)"
"ENSG00000004948","ENSG00000004948","CALCR","799","NM_001164737","calcitonin receptor"
"ENSG00000004961","ENSG00000004961","HCCS","3052","NM_001122608","holocytochrome c synthase"
"ENSG00000004975","ENSG00000004975","DVL2","1856","NM_004422","dishevelled segment polarity protein 2"
"ENSG00000005001","ENSG00000005001","PRSS22","64063","NM_022119","serine protease 22"
"ENSG00000005007","ENSG00000005007","UPF1","5976","NM_001297549","UPF1, RNA helicase and ATPase"
"ENSG00000005020","ENSG00000005020","SKAP2","8935","NM_001303468","src kinase associated phosphoprotein 2"
"ENSG00000005022","ENSG00000005022","SLC25A5","292","NM_001152","solute carrier family 25 member 5"
"ENSG00000005073","ENSG00000005073","HOXA11","3207","NM_005523","homeobox A11"
"ENSG00000005075","ENSG00000005075","POLR2J","5439","NM_006234","RNA polymerase II subunit J"
"ENSG00000005100","ENSG00000005100","DHX33","56919","NM_001199699","DEAH-box helicase 33"
"ENSG00000005102","ENSG00000005102","MEOX1","4222","NM_001040002","mesenchyme homeobox 1"
"ENSG00000005108","ENSG00000005108","THSD7A","221981","NM_015204","thrombospondin type 1 domain containing 7A"
"ENSG00000005156","ENSG00000005156","LIG3","3980","NM_002311","DNA ligase 3"
"ENSG00000005175","ENSG00000005175","RPAP3","79657","NM_001146075","RNA polymerase II associated protein 3"
"ENSG00000005187","ENSG00000005187","ACSM3","6296","NM_005622","acyl-CoA synthetase medium chain family member 3"
"ENSG00000005194","ENSG00000005194","CIAPIN1","57019","NM_001308347","cytokine induced apoptosis inhibitor 1"
"ENSG00000005206","ENSG00000005206","SPPL2B","56928","NM_001077238","signal peptide peptidase like 2B"
"ENSG00000005238","ENSG00000005238","FAM214B","80256","NM_001317991","family with sequence similarity 214 member B"
